Time (s),_1 Data,_2 Data,_1 Solution,_2 Solution,,,,,,,,,,,
0,0.009,-0.118,-0.04,0.04,,,,,,,,,,,0.118
0.05,0.027,-0.101,-0.04,0.04,,,,,,,,,,,0.00804
0.1,0.027,-0.083,-0.04,0.03,,,,,,,,,,,
0.15,0.027,-0.066,-0.03,0.03,,,,,,,,,,,
0.2,0.027,-0.031,-0.02,0.02,,,,,,,,,,,
0.25,0.009,-0.013,-0.01,0.01,,,,,,,,,,,
0.3,0.009,0.022,0,0,,,,,,,,,,,
0.35,0.009,0.039,0.01,-0.01,,,,,,,,,,,
0.4,-0.008,0.074,0.02,-0.02,,,,,,,,,,,
0.45,-0.008,0.091,0.03,-0.03,,,,,,,,,,,
0.5,-0.008,0.109,0.03,-0.04,,,,,,,,,,,
0.55,-0.025,0.109,0.04,-0.04,,,,,,,,,,,
0.6,-0.025,0.109,0.04,-0.04,,,,,,,,,,,
0.65,-0.025,0.091,0.04,-0.04,,,,,,,,,,,
0.7,-0.025,0.074,0.03,-0.04,,,,,,,,,,,
0.75,-0.025,0.039,0.03,-0.03,,,,,,,,,,,
0.8,-0.025,0.022,0.02,-0.02,,,,,,,,,,,
0.85,-0.025,-0.013,0.01,-0.01,,,,,,,,,,,
0.9,-0.008,-0.031,0,0,,,,,,,,,,,
0.95,-0.008,-0.066,-0.01,0.01,,,,,,,,,,,
1,0.009,-0.083,-0.02,0.02,,,,,,,,,,,
1.05,0.009,-0.101,-0.03,0.03,,,,,,,,,,,
1.1,0.027,-0.101,-0.04,0.03,,,,,,,,,,,
1.15,0.027,-0.101,-0.04,0.04,,,,,,,,,,,
1.2,0.027,-0.083,-0.04,0.04,,,,,,,,,,,
1.25,0.044,-0.066,-0.04,0.04,,,,,,,,,,,
1.3,0.044,-0.048,-0.04,0.03,,,,,,,,,,,
1.35,0.044,-0.031,-0.03,0.03,,,,,,,,,,,
1.4,0.027,0.004,-0.02,0.02,,,,,,,,,,,
1.45,0.027,0.022,-0.01,0.01,,,,,,,,,,,
1.5,0.009,0.057,0,0,,,,,,,,,,,
1.55,0.009,0.074,0.01,-0.01,,,,,,,,,,,
