Time (s),_1 Data,_2 Data,_1 Solution,_2 Solution,,,,,,,,,,,
0,-0.0777,0.0559,-0.14,0.12,,,,,,,,,,,0.0777
0.05,-0.1127,0.0909,-0.13,0.11,,,,,,,,,,,-0.0559
0.1,-0.1477,0.1259,-0.12,0.1,,,,,,,,,,,
0.15,-0.1647,0.1429,-0.1,0.08,,,,,,,,,,,
0.2,-0.1827,0.1609,-0.07,0.06,,,,,,,,,,,
0.25,-0.1647,0.1609,-0.04,0.03,,,,,,,,,,,
0.3,-0.1477,0.1429,0,0,,,,,,,,,,,
0.35,-0.1297,0.1259,0.03,-0.03,,,,,,,,,,,
0.4,-0.0947,0.0909,0.07,-0.06,,,,,,,,,,,
0.45,-0.0427,0.0559,0.09,-0.09,,,,,,,,,,,
0.5,0.0093,0.0209,0.11,-0.1,,,,,,,,,,,
0.55,0.0443,-0.0311,0.13,-0.12,,,,,,,,,,,
0.6,0.0973,-0.0661,0.13,-0.12,,,,,,,,,,,
0.65,0.1313,-0.1011,0.13,-0.12,,,,,,,,,,,
0.7,0.1493,-0.1361,0.11,-0.11,,,,,,,,,,,
0.75,0.1663,-0.1531,0.09,-0.09,,,,,,,,,,,
0.8,0.1663,-0.1711,0.06,-0.06,,,,,,,,,,,
0.85,0.1663,-0.1531,0.03,-0.04,,,,,,,,,,,
0.9,0.1313,-0.1531,-0.01,-0.01,,,,,,,,,,,
0.95,0.1143,-0.1191,-0.04,0.03,,,,,,,,,,,
1,0.0623,-0.0841,-0.07,0.05,,,,,,,,,,,
1.05,0.0273,-0.0491,-0.1,0.08,,,,,,,,,,,
1.1,-0.0257,0.0039,-0.12,0.1,,,,,,,,,,,
1.15,-0.0607,0.0389,-0.13,0.11,,,,,,,,,,,
1.2,-0.1127,0.0909,-0.14,0.12,,,,,,,,,,,
1.25,-0.1297,0.1259,-0.13,0.11,,,,,,,,,,,
1.3,-0.1647,0.1429,-0.12,0.1,,,,,,,,,,,
1.35,-0.1647,0.1609,-0.09,0.09,,,,,,,,,,,
1.4,-0.1647,0.1609,-0.07,0.06,,,,,,,,,,,
1.45,-0.1477,0.1609,-0.03,0.03,,,,,,,,,,,
1.5,-0.1297,0.1259,0,0,,,,,,,,,,,
1.55,-0.0947,0.1079,0.04,-0.03,,,,,,,,,,,
1.6,-0.0427,0.0559,0.07,-0.06,,,,,,,,,,,
1.65,-0.0077,0.0209,0.09,-0.08,,,,,,,,,,,
1.7,0.0443,-0.0141,0.11,-0.1,,,,,,,,,,,
1.75,0.0793,-0.0661,0.13,-0.12,,,,,,,,,,,
1.8,0.1143,-0.1011,0.13,-0.12,,,,,,,,,,,
1.85,0.1493,-0.1361,0.12,-0.12,,,,,,,,,,,
1.9,0.1663,-0.1531,0.11,-0.11,,,,,,,,,,,
1.95,0.1663,-0.1531,0.09,-0.09,,,,,,,,,,,
2,0.1663,-0.1531,0.06,-0.07,,,,,,,,,,,
2.05,0.1493,-0.1531,0.03,-0.04,,,,,,,,,,,
2.1,0.1143,-0.1191,-0.01,-0.01,,,,,,,,,,,
2.15,0.0793,-0.0841,-0.04,0.02,,,,,,,,,,,
2.2,0.0273,-0.0491,-0.07,0.05,,,,,,,,,,,
2.25,-0.0077,0.0039,-0.1,0.08,,,,,,,,,,,
2.3,-0.0607,0.0389,-0.12,0.1,,,,,,,,,,,
2.35,-0.0947,0.0729,-0.13,0.11,,,,,,,,,,,
2.4,-0.1297,0.1079,-0.13,0.12,,,,,,,,,,,
2.45,-0.1647,0.1429,-0.13,0.12,,,,,,,,,,,
2.5,-0.1647,0.1609,-0.11,0.11,,,,,,,,,,,
2.55,-0.1647,0.1609,-0.09,0.09,,,,,,,,,,,
2.6,-0.1647,0.1609,-0.06,0.06,,,,,,,,,,,
2.65,-0.1297,0.1429,-0.03,0.04,,,,,,,,,,,
2.7,-0.0947,0.1079,0,0,,,,,,,,,,,
2.75,-0.0607,0.0729,0.04,-0.03,,,,,,,,,,,
2.8,-0.0077,0.0209,0.07,-0.06,,,,,,,,,,,
2.85,0.0273,-0.0141,0.09,-0.08,,,,,,,,,,,
2.9,0.0793,-0.0491,0.11,-0.11,,,,,,,,,,,
2.95,0.1143,-0.1011,0.12,-0.12,,,,,,,,,,,
3,0.1493,-0.1191,0.13,-0.13,,,,,,,,,,,
3.05,0.1663,-0.1531,0.12,-0.12,,,,,,,,,,,
3.1,0.1663,-0.1531,0.1,-0.11,,,,,,,,,,,
3.15,0.1663,-0.1531,0.08,-0.1,,,,,,,,,,,
3.2,0.1493,-0.1531,0.06,-0.07,,,,,,,,,,,
3.25,0.1143,-0.1191,0.02,-0.04,,,,,,,,,,,
3.3,0.0793,-0.0841,-0.01,-0.01,,,,,,,,,,,
3.35,0.0443,-0.0491,-0.04,0.02,,,,,,,,,,,
3.4,-0.0077,-0.0141,-0.07,0.05,,,,,,,,,,,
3.45,-0.0607,0.0389,-0.1,0.08,,,,,,,,,,,
3.5,-0.0947,0.0729,-0.12,0.1,,,,,,,,,,,
3.55,-0.1297,0.1079,-0.13,0.12,,,,,,,,,,,
3.6,-0.1477,0.1429,-0.13,0.12,,,,,,,,,,,
3.65,-0.1647,0.1609,-0.12,0.12,,,,,,,,,,,
3.7,-0.1647,0.1609,-0.11,0.11,,,,,,,,,,,
3.75,-0.1647,0.1609,-0.09,0.09,,,,,,,,,,,
3.8,-0.1297,0.1429,-0.06,0.07,,,,,,,,,,,
3.85,-0.1127,0.1079,-0.03,0.04,,,,,,,,,,,
3.9,-0.0607,0.0729,0,0.01,,,,,,,,,,,
3.95,-0.0257,0.0389,0.04,-0.03,,,,,,,,,,,
4,0.0273,-0.0141,0.07,-0.06,,,,,,,,,,,
4.05,0.0793,-0.0491,0.09,-0.09,,,,,,,,,,,
4.1,0.1143,-0.0841,0.11,-0.11,,,,,,,,,,,
4.15,0.1493,-0.1191,0.12,-0.12,,,,,,,,,,,
4.2,0.1663,-0.1361,0.12,-0.13,,,,,,,,,,,
4.25,0.1663,-0.1531,0.12,-0.13,,,,,,,,,,,
4.3,0.1663,-0.1531,0.1,-0.12,,,,,,,,,,,
4.35,0.1493,-0.1531,0.08,-0.1,,,,,,,,,,,
4.4,0.1313,-0.1191,0.05,-0.07,,,,,,,,,,,
4.45,0.0793,-0.1011,0.02,-0.04,,,,,,,,,,,
4.5,0.0443,-0.0661,-0.01,-0.01,,,,,,,,,,,
4.55,-0.0077,-0.0141,-0.04,0.02,,,,,,,,,,,
4.6,-0.0427,0.0209,-0.07,0.06,,,,,,,,,,,
4.65,-0.0947,0.0729,-0.09,0.08,,,,,,,,,,,
4.7,-0.1297,0.1079,-0.11,0.11,,,,,,,,,,,
4.75,-0.1477,0.1259,-0.12,0.12,,,,,,,,,,,
4.8,-0.1647,0.1429,-0.12,0.13,,,,,,,,,,,
4.85,-0.1647,0.1609,-0.12,0.12,,,,,,,,,,,
