time,angle1,angle2
0,0.017,0
0.05,0.035,0.017
0.1,0.035,0.035
0.15,0.035,0.052
0.2,0.035,0.087
0.25,0.017,0.105
0.3,0.017,0.14
0.35,0.017,0.157
0.4,0,0.192
0.45,0,0.209
0.5,0,0.227
0.55,-0.017,0.227
0.6,-0.017,0.227
0.65,-0.017,0.209
0.7,-0.017,0.192
0.75,-0.017,0.157
0.8,-0.017,0.14
0.85,-0.017,0.105
0.9,0,0.087
0.95,0,0.052
1,0.017,0.035
1.05,0.017,0.017
1.1,0.035,0.017
1.15,0.035,0.017
1.2,0.035,0.035
1.25,0.052,0.052
1.3,0.052,0.07
1.35,0.052,0.087
1.4,0.035,0.122
1.45,0.035,0.14
1.5,0.017,0.175
1.55,0.017,0.192
1.6,0,0.209
1.65,-0.017,0.209
1.7,-0.017,0.209
1.75,-0.035,0.209
1.8,-0.035,0.192
1.85,-0.035,0.175
1.9,-0.035,0.157
1.95,-0.035,0.122
2,-0.017,0.105
2.05,0,0.087
2.1,0,0.07
2.15,0.017,0.052
2.2,0.035,0.035
2.25,0.035,0.035
2.3,0.052,0.035
2.35,0.052,0.035
2.4,0.052,0.052
2.45,0.052,0.07
2.5,0.052,0.087
2.55,0.035,0.105
2.6,0.017,0.14
2.65,0.017,0.157
2.7,0,0.175
2.75,-0.017,0.192
2.8,-0.035,0.192
2.85,-0.035,0.192
2.9,-0.035,0.192
2.95,-0.035,0.192
3,-0.035,0.175
3.05,-0.035,0.157
3.1,-0.017,0.14
3.15,0,0.122
3.2,0,0.105
3.25,0.017,0.087
3.3,0.035,0.07
3.35,0.052,0.052
3.4,0.052,0.052
3.45,0.052,0.035
3.5,0.052,0.052
3.55,0.052,0.052
3.6,0.052,0.07
3.65,0.035,0.07
3.7,0.017,0.105
3.75,0.017,0.122
3.8,0,0.14
3.85,-0.017,0.157
3.9,-0.017,0.175
3.95,-0.035,0.192
4,-0.035,0.192
4.05,-0.035,0.192
4.1,-0.035,0.192
4.15,-0.035,0.192
4.2,-0.017,0.175
4.25,-0.017,0.157
4.3,0,0.14
4.35,0.017,0.105
4.4,0.017,0.087
4.45,0.035,0.07
4.5,0.052,0.052
4.55,0.052,0.052
4.6,0.052,0.035
4.65,0.052,0.035
4.7,0.052,0.052
4.75,0.052,0.052
4.8,0.035,0.07
4.85,0.017,0.087
4.9,0.017,0.105
4.95,0,0.14
5,-0.017,0.157
5.05,-0.017,0.175
5.1,-0.035,0.192
5.15,-0.035,0.192
5.2,-0.035,0.192
5.25,-0.035,0.192
5.3,-0.035,0.192
5.35,-0.017,0.175
5.4,-0.017,0.157
5.45,0,0.14
5.5,0.017,0.122
5.55,0.017,0.087
5.6,0.035,0.07
5.65,0.052,0.07
5.7,0.052,0.052
5.75,0.052,0.035
5.8,0.052,0.035
5.85,0.052,0.052
5.9,0.052,0.052
5.95,0.035,0.07
6,0.017,0.087
6.05,0.017,0.105
6.1,0,0.122
6.15,-0.017,0.157
6.2,-0.017,0.175
6.25,-0.035,0.175
6.3,-0.035,0.192
6.35,-0.035,0.192
6.4,-0.035,0.192
6.45,-0.035,0.192
