time,angle1 data,angle2 data,angle1 solution,angle2 solution,angle1a data,angle2a data,angle1a solution,angle2a solution
0,0,0,-0.136,0.116,-0.0777,0.0559,-0.14,0.12
0.05,-0.035,0.035,-0.131,0.112,-0.1127,0.0909,-0.13,0.11
0.1,-0.07,0.07,-0.118,0.1,-0.1477,0.1259,-0.12,0.1
0.15,-0.087,0.087,-0.097,0.082,-0.1647,0.1429,-0.1,0.08
0.2,-0.105,0.105,-0.069,0.057,-0.1827,0.1609,-0.07,0.06
0.25,-0.087,0.105,-0.036,0.029,-0.1647,0.1609,-0.04,0.03
0.3,-0.07,0.087,-0.001,-0.001,-0.1477,0.1429,0,0
0.35,-0.052,0.07,0.033,-0.032,-0.1297,0.1259,0.03,-0.03
0.4,-0.017,0.035,0.066,-0.06,-0.0947,0.0909,0.07,-0.06
0.45,0.035,0,0.093,-0.085,-0.0427,0.0559,0.09,-0.09
0.5,0.087,-0.035,0.114,-0.104,0.0093,0.0209,0.11,-0.1
0.55,0.122,-0.087,0.127,-0.116,0.0443,-0.0311,0.13,-0.12
0.6,0.175,-0.122,0.132,-0.12,0.0973,-0.0661,0.13,-0.12
0.65,0.209,-0.157,0.127,-0.117,0.1313,-0.1011,0.13,-0.12
0.7,0.227,-0.192,0.113,-0.106,0.1493,-0.1361,0.11,-0.11
0.75,0.244,-0.209,0.091,-0.087,0.1663,-0.1531,0.09,-0.09
0.8,0.244,-0.227,0.063,-0.063,0.1663,-0.1711,0.06,-0.06
0.85,0.244,-0.209,0.03,-0.035,0.1663,-0.1531,0.03,-0.04
0.9,0.209,-0.209,-0.004,-0.004,0.1313,-0.1531,-0.01,-0.01
0.95,0.192,-0.175,-0.039,0.026,0.1143,-0.1191,-0.04,0.03
1,0.14,-0.14,-0.071,0.055,0.0623,-0.0841,-0.07,0.05
1.05,0.105,-0.105,-0.098,0.08,0.0273,-0.0491,-0.1,0.08
1.1,0.052,-0.052,-0.119,0.099,-0.0257,0.0039,-0.12,0.1
1.15,0.017,-0.017,-0.132,0.112,-0.0607,0.0389,-0.13,0.11
1.2,-0.035,0.035,-0.135,0.117,-0.1127,0.0909,-0.14,0.12
1.25,-0.052,0.07,-0.13,0.114,-0.1297,0.1259,-0.13,0.11
1.3,-0.087,0.087,-0.116,0.103,-0.1647,0.1429,-0.12,0.1
1.35,-0.087,0.105,-0.094,0.084,-0.1647,0.1609,-0.09,0.09
1.4,-0.087,0.105,-0.066,0.061,-0.1647,0.1609,-0.07,0.06
1.45,-0.07,0.105,-0.033,0.032,-0.1477,0.1609,-0.03,0.03
1.5,-0.052,0.07,0.002,0.002,-0.1297,0.1259,0,0
1.55,-0.017,0.052,0.036,-0.029,-0.0947,0.1079,0.04,-0.03
1.6,0.035,0,0.068,-0.058,-0.0427,0.0559,0.07,-0.06
1.65,0.07,-0.035,0.095,-0.084,-0.0077,0.0209,0.09,-0.08
1.7,0.122,-0.07,0.115,-0.103,0.0443,-0.0141,0.11,-0.1
1.75,0.157,-0.122,0.127,-0.116,0.0793,-0.0661,0.13,-0.12
1.8,0.192,-0.157,0.13,-0.122,0.1143,-0.1011,0.13,-0.12
1.85,0.227,-0.192,0.125,-0.119,0.1493,-0.1361,0.12,-0.12
1.9,0.244,-0.209,0.11,-0.108,0.1663,-0.1531,0.11,-0.11
1.95,0.244,-0.209,0.088,-0.09,0.1663,-0.1531,0.09,-0.09
