time,angle1,angle2
0,0,0
0.05,-0.035,0.035
0.1,-0.07,0.07
0.15,-0.087,0.087
0.2,-0.105,0.105
0.25,-0.087,0.105
0.3,-0.07,0.087
0.35,-0.052,0.07
0.4,-0.017,0.035
0.45,0.035,0
0.5,0.087,-0.035
0.55,0.122,-0.087
0.6,0.175,-0.122
0.65,0.209,-0.157
0.7,0.227,-0.192
0.75,0.244,-0.209
0.8,0.244,-0.227
0.85,0.244,-0.209
0.9,0.209,-0.209
0.95,0.192,-0.175
1,0.14,-0.14
1.05,0.105,-0.105
1.1,0.052,-0.052
1.15,0.017,-0.017
1.2,-0.035,0.035
1.25,-0.052,0.07
1.3,-0.087,0.087
1.35,-0.087,0.105
1.4,-0.087,0.105
1.45,-0.07,0.105
1.5,-0.052,0.07
1.55,-0.017,0.052
1.6,0.035,0
1.65,0.07,-0.035
1.7,0.122,-0.07
1.75,0.157,-0.122
1.8,0.192,-0.157
1.85,0.227,-0.192
1.9,0.244,-0.209
1.95,0.244,-0.209
2,0.244,-0.209
2.05,0.227,-0.209
2.1,0.192,-0.175
2.15,0.157,-0.14
2.2,0.105,-0.105
2.25,0.07,-0.052
2.3,0.017,-0.017
2.35,-0.017,0.017
2.4,-0.052,0.052
2.45,-0.087,0.087
2.5,-0.087,0.105
2.55,-0.087,0.105
2.6,-0.087,0.105
2.65,-0.052,0.087
2.7,-0.017,0.052
2.75,0.017,0.017
2.8,0.07,-0.035
2.85,0.105,-0.07
2.9,0.157,-0.105
2.95,0.192,-0.157
3,0.227,-0.175
3.05,0.244,-0.209
3.1,0.244,-0.209
3.15,0.244,-0.209
3.2,0.227,-0.209
3.25,0.192,-0.175
3.3,0.157,-0.14
3.35,0.122,-0.105
3.4,0.07,-0.07
3.45,0.017,-0.017
3.5,-0.017,0.017
3.55,-0.052,0.052
3.6,-0.07,0.087
3.65,-0.087,0.105
3.7,-0.087,0.105
3.75,-0.087,0.105
3.8,-0.052,0.087
3.85,-0.035,0.052
3.9,0.017,0.017
3.95,0.052,-0.017
4,0.105,-0.07
4.05,0.157,-0.105
4.1,0.192,-0.14
4.15,0.227,-0.175
4.2,0.244,-0.192
4.25,0.244,-0.209
4.3,0.244,-0.209
4.35,0.227,-0.209
4.4,0.209,-0.175
4.45,0.157,-0.157
4.5,0.122,-0.122
4.55,0.07,-0.07
4.6,0.035,-0.035
4.65,-0.017,0.017
4.7,-0.052,0.052
4.75,-0.07,0.07
4.8,-0.087,0.087
4.85,-0.087,0.105
4.9,-0.087,0.105
4.95,-0.07,0.087
5,-0.035,0.052
5.05,0,0.017
5.1,0.052,-0.017
5.15,0.105,-0.052
5.2,0.14,-0.105
5.25,0.192,-0.14
5.3,0.209,-0.175
5.35,0.244,-0.192
5.4,0.244,-0.209
5.45,0.244,-0.209
5.5,0.227,-0.209
5.55,0.209,-0.192
5.6,0.175,-0.157
5.65,0.122,-0.122
5.7,0.087,-0.087
5.75,0.035,-0.035
5.8,0,0
5.85,-0.035,0.035
5.9,-0.07,0.07
5.95,-0.087,0.087
6,-0.087,0.105
6.05,-0.087,0.105
6.1,-0.07,0.087
6.15,-0.035,0.07
6.2,0,0.035
6.25,0.052,-0.017
6.3,0.087,-0.052
6.35,0.14,-0.087
6.4,0.175,-0.14
6.45,0.209,-0.157
6.5,0.227,-0.192
6.55,0.244,-0.209
6.6,0.244,-0.209
6.65,0.227,-0.209
6.7,0.209,-0.192
6.75,0.175,-0.157
6.8,0.14,-0.122
6.85,0.087,-0.087
6.9,0.052,-0.052
6.95,0,0
7,-0.035,0.035
7.05,-0.07,0.07
7.1,-0.087,0.087
7.15,-0.087,0.105
7.2,-0.087,0.105
7.25,-0.07,0.087
7.3,-0.035,0.07
7.35,0,0.035
7.4,0.035,0
7.45,0.087,-0.052
7.5,0.122,-0.087
7.55,0.175,-0.122
7.6,0.209,-0.157
7.65,0.227,-0.192
7.7,0.244,-0.209
7.75,0.244,-0.209
7.8,0.244,-0.209
7.85,0.209,-0.192
7.9,0.175,-0.157
7.95,0.14,-0.122
8,0.105,-0.087
8.05,0.052,-0.052
8.1,0,-0.017
8.15,-0.035,0.035
8.2,-0.07,0.052
8.25,-0.087,0.087
8.3,-0.087,0.087
8.35,-0.087,0.105
8.4,-0.07,0.087
8.45,-0.052,0.07
8.5,-0.017,0.035
8.55,0.035,0
8.6,0.07,-0.035
8.65,0.122,-0.087
8.7,0.175,-0.122
8.75,0.209,-0.157
8.8,0.227,-0.175
8.85,0.244,-0.192
8.9,0.244,-0.209
8.95,0.244,-0.209
9,0.209,-0.192
9.05,0.192,-0.175
9.1,0.14,-0.14
9.15,0.105,-0.105
9.2,0.052,-0.052
9.25,0.017,-0.017
9.3,-0.035,0.017
9.35,-0.052,0.052
9.4,-0.087,0.07
9.45,-0.087,0.087
9.5,-0.087,0.087
9.55,-0.07,0.087
9.6,-0.052,0.07
