time,angle1 data,angle2 data,angle1 solution,angle2 solution,angle1a data,angle2a data,angle1a solution,angle2a solution
0,0.017,0,-0.043,-0.038,0.009,-0.118,-0.04,0.04
0.05,0.035,0.017,-0.042,-0.036,0.027,-0.101,-0.04,0.04
0.1,0.035,0.035,-0.037,-0.032,0.027,-0.083,-0.04,0.03
0.15,0.035,0.052,-0.03,-0.026,0.027,-0.066,-0.03,0.03
0.2,0.035,0.087,-0.02,-0.017,0.027,-0.031,-0.02,0.02
0.25,0.017,0.105,-0.009,-0.008,0.009,-0.013,-0.01,0.01
0.3,0.017,0.14,0.002,0.002,0.009,0.022,0,0
0.35,0.017,0.157,0.013,0.012,0.009,0.039,0.01,-0.01
0.4,0,0.192,0.023,0.02,-0.008,0.074,0.02,-0.02
0.45,0,0.209,0.031,0.027,-0.008,0.091,0.03,-0.03
0.5,0,0.227,0.037,0.032,-0.008,0.109,0.03,-0.04
0.55,-0.017,0.227,0.039,0.034,-0.025,0.109,0.04,-0.04
0.6,-0.017,0.227,0.038,0.033,-0.025,0.109,0.04,-0.04
0.65,-0.017,0.209,0.034,0.029,-0.025,0.091,0.04,-0.04
0.7,-0.017,0.192,0.028,0.023,-0.025,0.074,0.03,-0.04
0.75,-0.017,0.157,0.019,0.015,-0.025,0.039,0.03,-0.03
0.8,-0.017,0.14,0.008,0.005,-0.025,0.022,0.02,-0.02
0.85,-0.017,0.105,-0.003,-0.005,-0.025,-0.013,0.01,-0.01
0.9,0,0.087,-0.014,-0.014,-0.008,-0.031,0,0
0.95,0,0.052,-0.025,-0.023,-0.008,-0.066,-0.01,0.01
1,0.017,0.035,-0.033,-0.03,0.009,-0.083,-0.02,0.02
1.05,0.017,0.017,-0.039,-0.035,0.009,-0.101,-0.03,0.03
1.1,0.035,0.017,-0.043,-0.038,0.027,-0.101,-0.04,0.03
1.15,0.035,0.017,-0.043,-0.037,0.027,-0.101,-0.04,0.04
1.2,0.035,0.035,-0.04,-0.034,0.027,-0.083,-0.04,0.04
1.25,0.052,0.052,-0.034,-0.028,0.044,-0.066,-0.04,0.04
1.3,0.052,0.07,-0.026,-0.021,0.044,-0.048,-0.04,0.03
1.35,0.052,0.087,-0.015,-0.011,0.044,-0.031,-0.03,0.03
1.4,0.035,0.122,-0.004,-0.001,0.027,0.004,-0.02,0.02
1.45,0.035,0.14,0.007,0.009,0.027,0.022,-0.01,0.01
1.5,0.017,0.175,0.018,0.018,0.009,0.057,0,0
1.55,0.017,0.192,0.027,0.025,0.009,0.074,0.01,-0.01
1.6,0,0.209,0.034,0.031,-0.008,0.091,0.02,-0.02
1.65,-0.017,0.209,0.038,0.034,-0.025,0.091,0.03,-0.03
1.7,-0.017,0.209,0.039,0.034,-0.025,0.091,0.03,-0.04
1.75,-0.035,0.209,0.036,0.031,-0.043,0.091,0.04,-0.04
1.8,-0.035,0.192,0.031,0.026,-0.043,0.074,0.04,-0.04
1.85,-0.035,0.175,0.024,0.018,-0.043,0.057,0.04,-0.04
1.9,-0.035,0.157,0.014,0.009,-0.043,0.039,0.03,-0.04
1.95,-0.035,0.122,0.003,-0.001,-0.043,0.004,0.03,-0.03
2,-0.017,0.105,-0.008,-0.011,-0.025,-0.013,0.02,-0.02
2.05,0,0.087,-0.019,-0.021,-0.008,-0.031,0.01,-0.01
2.1,0,0.07,-0.029,-0.029,-0.008,-0.048,0,0
2.15,0.017,0.052,-0.036,-0.035,0.009,-0.066,-0.01,0.01
2.2,0.035,0.035,-0.041,-0.038,0.027,-0.083,-0.02,0.02
2.25,0.035,0.035,-0.043,-0.039,0.027,-0.083,-0.03,0.03
2.3,0.052,0.035,-0.041,-0.036,0.044,-0.083,-0.04,0.03
2.35,0.052,0.035,-0.037,-0.031,0.044,-0.083,-0.04,0.04
2.4,0.052,0.052,-0.03,-0.024,0.044,-0.066,-0.04,0.04
2.45,0.052,0.07,-0.021,-0.015,0.044,-0.048,-0.04,0.04
2.5,0.052,0.087,-0.01,-0.005,0.044,-0.031,-0.04,0.03
2.55,0.035,0.105,0.001,0.005,0.027,-0.013,-0.03,0.03
